skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
MonBlizzard	205				28												monblizcenter																																																												monster_cast_cold											ice_cast_2				28					monblizcenter												1	3		none												SQ	SQ	S1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Mosquito	206			55	107																																																																																						42	62																	1	0		none												SQ	SQ	xx	34																									1																								1										4	min loops	7	max loops	25	heal pct			12	reset loop frame	0	?	0	?	0	?	0	?	0	?					1								8		2	2	2	2	2	2	4	2	2	2	2	2			2	3	3	3	3	3	4	3	3	3	3	3		200								0
CursedBallTrapRight	207													trap cursed skull right																																																																																		trap cursed skull right													1	0		none												SC	SC	S2																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0
CursedBallTrapLeft	208													trap cursed skull left																																																																																		trap cursed skull left													1	0		none												SC	SC	S2																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0
MonFrozenArmor	209				18																	frozenarmor		ln34		skill_armor_percent	ln12																																																		monster_cast_cold				sorceress_frozenarmor							ice_cast_3																					1	0		none												SQ	SQ	SC																										1																								1																		30	% AC base	5	% AC per level	3600	Duration	300	Duration per level	30	Freeze Frames	3	Freeze Frames per level					1								8																																		1			0
MonBoneArmor	210				18																	bonearmor				bonearmor	ln12*256	bonearmormax	ln12*256																																																necromancer_bonearmor																																1	0		none												SQ	SQ	S1																										1																								1																		20	damage absorbed	10	additional absorbed/level	0	?	0	?	0	?	0	?					1								8																																					0
MonBoneSpirit	211				10												monbonespirit	monbonespirit																																																											monster_cast_fire															18					monbonespirit	monbonespirit											1	0		none												SQ	SQ	S1																										1																								1																		15	Search range	0	?	0	?	0	?	0	?	0	?					1								8																																					0
MonCurseCast	212				112																			ln34	ln12																																																																		18	30					curseeffectred		cursecast										1	5		none												SQ	SQ	S2																										1																								1																		3	radius	1	radius per level	300	duration	60	additional duration/level	25	min % resist lower	70	max % resist lower	-50	speed			1								8																																					0
HellMeteor	213				28												hellmeteordown																																																																										44																		1	4		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
RegurgitatorEat	214				108																																																																								regurgitator_eat_1															63					corpseexplosion	bigblood1											1	2		none												SQ	SQ	S1									1		1															1																								1										33	heal% of target hp							0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
MonFrenzy	215			64	109																	monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																																																														1	3		none												SQ	SQ	A2				1		1	1																			1																								1																		200	duration	25	duration/level	30	min % speed increase	110	max % speed increase	0	?	0	?					1	10	10						8	128																																				0
QueenDeath	216																																																																																											64																	1	0		none												SQ	SQ	xx	41																									1																																										0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Scroll of Identify	217		scroll of identify		113																																																																																																									0		none												SC	SC	xx																										1									1							5									1								1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Book of Identify	218		book of identify		113																																																																																																									0		none												SC	SC	xx																										1									1							5									1								1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Scroll of Townportal	219		scroll of townportal		113																																																																																																									0		none												SC	SC	xx																										1									1							5																	1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Book of Townportal	220		book of townportal		113																																																																																																									0		none												SC	SC	xx																										1									1							5																	1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Raven	221	dru	raven		114																																																							druidhawk	raven	"min(lvl,par2)"	S1														druid_summon																																1	0		none												SC	SC	xx				1	4																					1	20								1											1	8	6	0	1	1									0	hp adj	ulvl + par1 + lvl	raven lvl					-2	monster level = your level + this + SkillLevel	5	Max ravens	0	?	0	?	12	Attacks	1	Attacks per level					1	100	15						8		2	1	1	1	1	1	4	1	1	1	1	1																							256	1000
Plague Poppy	222	dru	plague poppy		115																	vine_beast																																						plaguepoppy	vine	1	S1	Vine Attack	lvl												druid_summon																																1	0		none												SC	SC	xx				1	4																					1	20								1											1	8	8	0	1	1									par3 * (lvl-1)	hp %	ulvl * 3 / 4 + lvl	vine lvl					3	Number of vines	1	vines per level	25	% more hitpoints per level	0	?	0	?	0	?					1																							pois	12	7	12	15	17	19	16	7	12	15	17	19		100							256	1000
Wearwolf	223	dru	wearwolf		116																	wolf		1000+skill('Shape Shifting'.ln12)		skill_staminapercent	par1	attackrate	dm34	item_tohit_percent	toht	item_maxhp_percent	par2+skill('Shape Shifting'.ln34)																																																								wolf_into	wolf_undo	45																		1	0		none												SC	SC	xx	22			1													1									1	20								1				25				1			1	8	15	0		1																	25	% stamina increase	25	% hitpoints increase	10	% min speed increase	80	% max speed increase	0	?	0	?					1	50	15						8	128																																			256	1000
Shape Shifting	224	dru	shape shifting																																																																																																										1	0		none												SC	SC	xx				1																						1	20					Wearwolf														0	8	0	0	1						1												1000	Base duration of all forms	500	Bonus duration per level	20	% base hitpoint bonus	5	% hitpoints per level	0	?	0	?					1								8																																				256	1000
Firestorm	225	dru	firestorm		117												firestormmaker																																																												druid_firecast_b											druid_fire_cast_1				67					firestormmaker												1	0		none												SC	SC	xx				1													1						druid_firecast_b	druid_fire_cast_1		1	20												15	1						1	8	4	0	1										ln12	# missiles							3	Number of missiles	0	Number of missiles per level	0	?	0	?	0	?	0	?			23	damage synergy	1								2															fire	3	3	5	7	14	21	6	3	6	8	15	23	(skill('Molten Boulder'.blvl)+skill('Eruption'.blvl))*par8								256	1000
Oak Sage	226	dru	oak sage		119																																											poisonresist	100	maxpoisonresist	100									oaksage	totem	1	NU	Oak Sage Aura	lvl												druid_summon																																1	0		none												SC	SC	xx				1	4																					6	20								1											1	8	15	1	1	1									(lvl-1)*par1	hp adj	ulvl	totem lvl					30	% hitpoints more per level	5	% hitpoint bonus per level	250	duration of aura	0	?	0	?	0	?	30	radius	2	radius/lvl	1								8																																				384	3000
Summon Spirit Wolf	227	dru	summon spirit wolf		119																					fireresist	"min(ln78,85)"	coldresist	"min(ln78,85)"	lightresist	"min(ln78,85)"	poisonresist	"min(ln78,85)"															item_armor_percent	(par4 * lvl) + ln56	tohit	ln12	damagepercent	skill('Summon Grizzly'.ln12)							spiritwolf	spiritwolf	"min(lvl,par3)"	S1														druid_summon																																1	0		none												SC	SC	xx				1	4												1									6	20					Raven			1											1	8	15	0	1	1									skill('Summon Fenris'.ln12)	hp %	ulvl	pet lvl					50	% feral add to attack	25	% feral attack per level	5	max wolves	7	defense points per level	50	% defense bonus	10	% defense bonus per level	0	resist	5	resist/lvl	1	75	20						8		2	1	2	4	5	8	6	1	2	4	5	8																							384	3000
Wearbear	228	dru	wearbear		116																	bear		1000+skill('Shape Shifting'.ln12)		damagepercent	ln12	skill_armor_percent	ln34	item_maxhp_percent	par5 + skill('Shape Shifting'.ln34)																																																										bear_into	bear_undo	45																		1	0		none												SC	SC	xx	22			1																						6	20								1				25				1			1	8	15	0		1																	55	% Base bonus damage	8	% bonus damage per level	25	% increase armorclass	6	% armor class per level	75	% Base bonus hitpoints							1								8	128																																			384	3000
Molten Boulder	229	dru	molten boulder											moltenboulderemerge											par1																																																				druid_firecast_b											druid_fire_cast_1								moltenboulderemerge													1	0		none												SC	SC	xx				1													1						druid_firecast_b	druid_fire_cast_1		6	20					Firestorm							50	1						1	7	20	1	1																		7	Explosion Radius											10	phys damage synergy	8	fire damage synergy	1								8		6	4	7	10	13	16	12	5	8	11	14	17	skill('Volcano'.blvl)*par7	fire	6	4	7	10	13	16	12	5	8	11	14	17	skill('Firestorm'.blvl)*par8								384	3000
Arctic Blast	230	dru	arctic blast	11	19												arcticblast1								ln12/4-2																																																													arctic_blast_cast	druid_windcast				15	24					arcticblast1	arcticblast2											1	0		none												SQ	SQ	xx	18	10																								6	20													1	1				6	0	2	24	1	1										ln12/2	range	20	frames if monster					35	base ranged (doubled)	2	level range (doubled)	4	Min Mana to start casting									15	damage synergy	1								2															cold	21	16	18	20	24	29	40	16	19	21	25	31	(skill('Cyclone Armor'.blvl)+skill('Hurricane'.blvl))*par8	100	15	15	15				384	3000
Cycle of Life	231	dru	cycle of life		115																	vine_beast																																						cycleoflife	vine	1	S1	Vine Attack	lvl	CorpseCycler	lvl										druid_summon																																1	0		none												SC	SC	xx				1	4																					12	20					Plague Poppy			1											1	8	10	0	1	1									par3 * (lvl-1)	hp %	ulvl * 3 / 4 + lvl	vine lvl					10	Radius	0	Life steal moved -->	25	% more hitpoints per level	0	?	3	min % life steal	12	max % life steal					1								8																																				512	3000
Feral Rage	232	dru	feral rage	56	120																	feralrage		par1		velocitypercent	dm34	lifedrainmindam	par2 * lvl	lifedrainmaxdam	par2 * lvl																																																																														1	0		h2h												A1	A1	xx				1		1	1								1											12	20					Wearwolf			2	wolf				1						1	8	3	0	1										ln56	dmg%	lvl/par7 + par8						500	duration	4	% life steal per hit	10	Min Speed boost	70	Max Speed boost	50	% damage increase	5	% damage increase per level	2	Levels per charge	3	Min charge	1	20	10						8	128																																			512	3000
Maul	233	dru	maul	56	120																	maul		par4		damagepercent	lvl*par3	stunlength	dm56																																																																																1	0		h2h												A1	A1	xx				1		1	1								1											12	20					Wearbear			2	bear				1						1	8	3	0	1										0	dmg%	lvl/par7 + par8										20	damage per charge	500	duration	10	min stun duration	100	max stun duration	2	Levels per charge	3	Min charge	1	20	10						8	128																																			512	3000
Eruption	234	dru	eruption		28												erruption center																																																												druid_firecast_a											druid_fire_cast_2				28					erruption center												1	0		none												SC	SC	xx				1	4				1								1						druid_firecast_a	druid_fire_cast_2		12	20					Molten Boulder							50							1	8	15	0	1										par1	radius	par2	frequency					7	radius	6	Missile delay	0	Change duration in Missiles.xls									12	damage synergy	1								8															fire	15	6	12	16	18	22	25	6	12	16	19	23	(skill('Firestorm'.blvl)+skill('Volcano'.blvl))*par8								512	8000
Cyclone Armor	235	dru	cyclone armor		18																	cyclonearmor				bonearmor	(ln12*(100+(skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8)/100)*256	bonearmormax	(ln12*(100+(skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8)/100)*256									absorbdamage	25																																						druid_cyclonearmor																																1	0		none												SC	SC	xx				1													1									12	20					Arctic Blast														1	8	5	1	1	1																	40	damage absorbed	12	additional absorbed/level											7	absorb synergy	1								8																																				512	8000
Heart of Wolverine	236	dru	heart of wolverine		119																																											poisonresist	100	maxpoisonresist	100									heartofwolverine	totem	1	NU	Wolverine Aura	lvl												druid_summon																																1	0		none												SC	SC	xx				1	4																					18	20					Oak Sage			1											1	8	20	1	1	1									(lvl-1)*par1	hp adj	ulvl	totem lvl					25	bonus hitpoints per level	3	Bonus Level	25	% attack rating bonus	7	% attack rating bonus per lvl	20	% damage increase	7	% damage increase per level	30	radius	2	radius/lvl	1								8																																				640	8000
Summon Fenris	237	dru	summon fenris		119																					fireresist	"min(ln78,85)"	coldresist	"min(ln78,85)"	lightresist	"min(ln78,85)"	poisonresist	"min(ln78,85)"															item_armor_percent	(par6 * lvl) + skill('Summon Spirit Wolf'.ln56)	tohit	skill('Summon Spirit Wolf'.ln12)	damagepercent	skill('Summon Grizzly'.ln12)							fenris	fenris	"min(lvl,par3)"	S1														druid_summon																																1	0		none												SC	SC	xx				1	4												1									18	20					Oak Sage	Summon Spirit Wolf		1											1	8	20	0	1	1									ln12	hp%	ulvl	pet lvl					50	% feral hitpoints	25	% feral hitpoints per level	3	max fenri	500	rage duration - see fenris rage	100	% damage with rage - see fenris rage	4	defense points per level	0	resist	5	resist/lvl	1	150	20						8		7	2	3	6	8	11	12	2	3	6	9	13																							640	8000
Rabies	238	dru	rabies	57	121												rabiesplague						rabies																																																																																						1	0		h2h												S3	S3	S3				1		1	1								1											18	20					Feral Rage			2	wolf				1						1	8	10	0	1																																18	damage synergy	1	50	7		1	2			3															pois	6	4	5	7	11	16	14	4	5	7	11	16	(skill('Plague Poppy'.blvl))*par8	100	10	10	10				640	16000
Fire Claws	239	dru	fire claws	58	2															fire_hit																																																																																									1	0		h2h												A1	A1	xx				1		1	1								1											18	20					Feral Rage	Maul		2	wolf	bear			1						1	8	4	0	1										0	dmg%																					22	damage synergy	1	50	15						8	128														fire	15	8	12	20	24	30	20	8	12	22	26	34	(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl)+skill('Eruption'.blvl))*par8								640	16000
Twister	240	dru	twister		118												twister																																																												druid_windcast															68					twister												1	0		none												SC	SC	xx				1													1									18	20					Cyclone Armor								1						1	8	7	0	1										par1	# missiles							3	Number of twisters	10	Frames the target is stunned											10	damage synergy	1								7		12	4	7	10	13	16	16	4	7	11	14	17	(skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8																						640	16000
Vines	241	dru	vines		115																	vine_beast																																						vinecreature	vine	1	S1	Vine Attack	lvl	VineCycler	lvl										druid_summon																																1	0		none												SC	SC	xx				1	4																					24	20					Cycle of Life			1											1	8	14	1	1	1									par3 * (lvl-1)	hp %	ulvl * 3 / 4 + lvl	vine lvl					3	Number of vines	1	vines per level	20	% more hitpoints per level	0	Mana steal moved -->	1	min % mana steal	8	max % mana steal					1								8																																				768	16000
Hunger	242	dru	hunger		122																																																																																																								1	0		h2h												S3	S3	S3				1		1	1								1											24	20					Fire Claws			2	wolf	bear			1						1	8	3	0	1										par5	dmg%	dm12	lifesteal	dm34	manasteal			50	min % life steal	200	max % life steal	50	min % mana steal	200	max % mana steal	-75	% damage penalty							1	50	10						8	128																																			768	32000
Shock Wave	243	dru	shock wave		8												shockwave	shockwave																																																																										17					shockwave	shockwave											1	0		none												SC	SC	xx				1																						24	20					Maul			2	bear				1						1	8	7	0	1										5	# missiles							40	stun length	15	stun length per level											5	damage synergy	1								8		10	3	5	7	7	7	20	3	5	7	7	7	skill('Maul'.blvl)*par8																						768	32000
Volcano	244	dru	volcano		123												volcano								par1																																																				druid_firecast_a											druid_fire_cast_2					91				volcano overlay fire	volcano											1	0		none												SC	SC	xx				1	4				1								1						sorceress_cast_fire	druid_fire_cast_2		24	20					Eruption							100							1	8	25	0	1																par2	damage delay	12	debris range	2	delay between debris									12	damage synergy	12	fire damage synergy	1								8		8	2	4	6	8	10	10	2	4	6	8	10	skill('Molten Boulder'.blvl)*par7	fire	8	2	4	6	8	11	10	2	4	6	8	13	(skill('Eruption'.blvl)+skill('Armageddon'.blvl))*par8								768	32000
Tornado	245	dru	tornado		118												tornado				42371				par2																																																				druid_windcast															69					tornado												1	0		none												SC	SC	xx				1	4												1									24	20					Twister								1						1	8	10	0	1										1	# missiles					par1	damage delay	15	Frame delay between damage	3	Radius of damage											9	damage synergy	1								8		25	8	14	20	24	28	35	8	15	21	25	29	(skill('Cyclone Armor'.blvl)+skill('Twister'.blvl)+skill('Hurricane'.blvl))*par8																						768	32000
Spirit of Barbs	246	dru	spirit of barbs		119																																											poisonresist	100	maxpoisonresist	100									spiritofbarbs	totem	1	NU	Barbs Aura	lvl												druid_summon																																1	0		none												SC	SC	xx				1	4																					30	20					Heart of Wolverine			1											1	8	25	1	1	1									(lvl-1)*par1	hp adj	ulvl	totem lvl					25	% hitpoints more per level	0	Bonus Level	50	% thorns damage back	20	% thorns damage back per level					30	radius	2	radius/lvl	1								8																																				896	64000
Summon Grizzly	247	dru	summon grizzly		119																					fireresist	"min(ln78,85)"	coldresist	"min(ln78,85)"	lightresist	"min(ln78,85)"	poisonresist	"min(ln78,85)"															damagepercent	ln12	tohit	skill('Summon Spirit Wolf'.ln12)	item_armor_percent	skill('Summon Spirit Wolf'.ln56)							druidbear	grizzly	1	S1														druid_summon																																1	0		none												SC	SC	xx				1	4																					30	20					Summon Fenris			1											1	8	40	0	1	1									skill('Summon Fenris'.ln12)	hp %	ulvl	pet lvl					25	% feral add to damage	10	% feral damage per level									0	resist	5	resist/lvl	1	300	20						8		30	10	15	20	26	30	60	10	15	20	26	30																							896	64000
Fury	248	dru	fury	37	13																																																																																						53	21																	1	0		h2h												A1	A1	A1				1		1	1																			30	20					Rabies			2	wolf				1						1	8	4	0	1										"min((par5 + lvl -1), par6)"	max targets	ln34	damage %							100	% frame rollback	100	% damage percent	17	damage % per level	2	Targets	5	Max targets					1	50	7						8	128																																			896	64000
Armageddon	249	dru	armageddon		124												armageddoncontrol	armageddoncontrol	armageddoncontrol			armageddon		ln12 + skill('Eruption'.blvl) * par7	par3																																																				druid_firecast_a											druid_fire_cast_2					92				armageddontail	armageddonrock			25	frames	25	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4																					30	20					Volcano	Hurricane		1				150							1	8	35	0	1																		250	base duration	0	duration per level	8	radius to drop meteors	8	frame delay between rocks					50	duration synergy	14	damage synergy	1								8		4	4	6	8	10	12	16	4	7	9	12	14		fire	25	15	20	25	31	38	75	16	22	27	34	40	(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl))*par8								896	64000
Hurricane	250	dru	hurricane		124																42883	hurricane		ln12 + skill('Cyclone Armor'.blvl) * par7	par3																																																				druid_windcast										druid_hurricane										hurricaneswoosh	hurricanerock	hurricanetree		3	debris/frame	75	height					1	0		none												SC	SC	xx				1																						30	20					Tornado							150							1	8	30	0	1																		250	base duration	0	duration per level	9	radius	20	frames per hit search					50	duration synergy	9	damage synergy	1				1	2			8															cold	25	7	10	12	14	16	50	7	10	12	14	16	(skill('Twister'.blvl)+skill('Tornado'.blvl))*par8	50							896	64000
Fire Trauma	251	ass	fire trauma											bomb in air		1									par1																																																								weapon_throw_1															bomb in air													1	0		rng												S2	S2	S2				1																						1	20													1						1	5	24	1	1																		5	radius													9	damage synergy	1								7															fire	6	3	8	20	38	58	8	5	11	24	44	66	(skill('Shock Field'.blvl) + skill('Death Sentry'.blvl) + skill('Charged Bolt Sentry'.blvl) + skill('Lightning Sentry'.blvl) + skill('Wake of Fire Sentry'.blvl) + skill('Inferno Sentry'.blvl)) * par8						5		256	1000
Claw Mastery	252	ass	claw mastery																																											clawmastery	h2h	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none		h2h										SC	SC	SC				1																						1	20																			0	8	0	0	1						1												30	Attack rating bonus percent	10	Percent attack rating per level	35	% damage percent	4	damage % per level	0	critical%	25	critical%					1								8																																		10		256	1000
Psychic Hammer	253	ass	psychic hammer	22	33																																																																							1	assassin_psychichammer							psychic_hammer_hit	paladin_holybolt_impact_1			psychic_hammer_curse			5	3																	1	0		rng												SC	SC	SC				1	4	1		1																		1	20																			1	6	16	1	1										par1	knockback% vs. monster	dm34	knockback% vs. unique	dm56	knockback% vs. boss	dm56	knockback% vs. player	100	knockback % vs. monster			50	min knockback% vs. unique	100	max knockback% vs. unique	25	min knockback% vs. boss	99	max knockback% vs. boss					1								7		2	2	3	4	5	6	6	3	4	5	6	7		mag	2	2	3	4	5	6	6	3	4	5	6	7							5		256	1000
Tiger Strike	254	ass	tiger strike	23	34								1									progressive_damage		par3		progressive_damage		progressive_tohit	par4																																																							assassinfootimpact		tigerstrike1	assassin_chargeup_tiger_1						12	12	12														1	0		h2h		mele										A1	A1	A2				1		1	1								1											1	20													1						1	8	1	0	1							1			ln12	progressive damage							100	% Damage bonus	20	% damage per level	375	duration	50	tohit bonus for each charge-up									1	15	7						8	128																																	4		256	1000
Dragon Talon	255	ass	dragon talon	24	42																																																																								assassin_kick_1														6	4																	1	0		h2h	4											KK	KK	A1	19					1	1								1											1	20													1						1	8	6	0	1					1					lvl/6+1	number of kicks	dm34	knockback% vs. unique	dm56	knockback% vs. boss	dm56	knockback% vs. player	5	Percent damage	7	percent damage per level	50	min knockback% vs. unique	100	max knockback% vs. unique	25	min knockback% vs. boss	99	max knockback% vs. boss					1	20	35					1	8																																		4		256	1000
Shock Field	256	ass	shock field		43					par1+lvl/par2+skill('Fire Trauma'.blvl)/3							shock field in air								(par1+lvl/par2+skill('Fire Trauma'.blvl)/3)/4+1																																																								weapon_throw_1											5					shock field in air												1	0		rng												S2	S2	S2				1																						6	20					Fire Trauma							15	1						1	8	6	0	1																		6	Number of missiles	4	Levels per missile											11	damage synergy	1								7															ltng	2	0	0	0	0	0	20	6	12	20	30	42	(skill('Charged Bolt Sentry'.blvl) + skill('Lightning Sentry'.blvl) + skill('Death Sentry'.blvl)) * par8						11		384	3000
Blade Sentinel	257	ass	blade sentinel		44												blade creeper																															tohit	lvl*5											bladecreeper	assassintrap	5	S1	Blade Sentinel	lvl												assassin_summon																																1	0		rng												S2	S2	S2				1																						6	20												50	1						1	8	7	0	1																ln12	duration	100	duration	12	duration per level	5	Total number assassin traps	3	Total number pet traps									1								8	48	6	3	4	5	5	5	10	3	4	5	5	5																					5	3	384	3000
Quickness	258	ass	quickness		18																	quickness		ln56		velocitypercent	dm12	attackrate	dm34																																																assassin_quickness																																1	0		none												SC	SC	SC				1																						6	20					Claw Mastery														1	8	10	0	1	1																	15	% min increased walk speed	70	% max increased walk speed	15	min % increased attack speed	60	max % increased attack speed	3000	duration	300	duration per level					1								8																																		1		384	3000
Fists of Fire	259	ass	fists of fire	23	35	1	143	38	39		par1	par2	4						fistsoffirefirewall			progressive_fire		par3		progressive_fire		progressive_tohit	par4																																																																	9	9			fistsoffireexplode	fistsoffirefirewall										1	0		h2h	3	h2h										SQ	A1	xx	16			1		1	1								1											6	20													1						1	8	2	0	1							1			lvl*3	convert to fire%							4	Radius of explosion	4	Radius of firewall fragments	375	duration	50	tohit bonus for each charge-up							12	damage synergy	1	15	7						8	128														fire	6	5	10	20	30	40	10	5	11	22	33	44	(skill('Royal Strike'.blvl)) * par8						4		384	3000
Dragon Claw	260	ass	dragon claw	25	46																																																																								assassin_kick_1																																1	0		h2h	3	h2h					h2h					SQ	A1	xx	16			1		1	1								1											6	20					Dragon Talon								1						1	8	2	0	1					1					ln12 + skill('Claw Mastery'.blvl)*par8	damage%							50	% Damage bonus	5	% damage per level											4	damage synergy	1	40	25						8	128																																	4		384	3000
Charged Bolt Sentry	261	ass	charged bolt sentry		45																																																							chargeboltsentry	assassintrap	5	S1	BoltSentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Shock Field	skill('Shock Field'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)				assassin_summon																																1	0		rng												S2	S2	S2				1	4																					12	20					Shock Field														1	8	13	0	1																par1 + skill('Lightning Sentry'.blvl)/4	shots fired	5	Shots fired			5	Bolts to send out	0	Bolts to send out per level							6	damage synergy	1								7															ltng	2	0	0	0	0	0	14	6	8	12	14	16	(skill('Fire Trauma'.blvl) + skill('Lightning Sentry'.blvl) + skill('Death Sentry'.blvl)) * par8						3		512	3000
Wake of Fire Sentry	262	ass	wake of fire sentry		45																																																							wakeofdestruction	assassintrap	5	S1	Wake Of Destruction Sentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)					32			assassin_summon																																1	0		rng												S2	S2	S2				1	4																					12	20					Fire Trauma														1	8	13	0	1																		5	Shots fired													8	damage synergy	1								8															fire	5	2	3	5	7	9	10	2	3	6	8	10	(skill('Fire Trauma'.blvl) + skill('Inferno Sentry'.blvl)) * par8						3		512	3000
Weapon Block	263	ass	weapon block																																											weaponblock	h2h	passive_weaponblock	dm12																																																												1	0		rng		h2h					h2h					SC	SC	SC				1																						12	20					Claw Mastery								1						0	8	0	0	1						1												20	min block %	65	max block %													1								8																																		10		512	3000
Cloak of Shadows	264	ass	cloak of shadows		47																57347	cloak_of_shadows	cloaked	ln34	dm12	skill_armor_percent	"-min(ln56,95)"																					item_armor_percent	ln78																																										7																		1	0		none												SC	SC	SC				1																						12	20					Psychic Hammer														1	8	13	0	1																		30	min radius of effect	30	max radius of effect	200	duration	25	Duration per level	15	percent armor decrease	3	percent decrease per level	10	percent armor bonus	3	percent armor bonus per level	1								8																																		2		512	8000
Cobra Strike	265	ass	cobra strike	23	34								2									progressive_steal		par3		progressive_steal		progressive_tohit	par4																																																									cobrastrike1	assassin_chargeup_cobra_1						13	13	13														1	0		h2h		mele										A1	A1	A2				1		1	1								1											12	20					Tiger Strike								1						1	8	2	0	1							1											40	Base percent life steal	5	Percent life steal per level	375	duration	50	tohit bonus for each charge-up									1	15	7						8	128																																	12		512	8000
